17.49090416,18.36714291,991.,983.06667979,945.46779062,984.04422537,972.96529583,990.39121545,987.69795383,0.209984
31.2025725,24.18742383,28.54619447,991.,752.68502176,20.36945471,869.7674884,978.99874517,929.92413416,0.047161
991.,20.214291,991.,987.60438084,951.37202183,985.2847574,972.64332508,990.9546345,989.4820983,0.173413
16.38940464,16.65761675,19.73118059,991.,991.,991.,933.59565995,989.46847164,973.98735523,0.193789
33.33810929,17.30731089,19.97189688,116.55366316,368.95148339,56.02189074,18.28469216,798.92617372,543.85576549,0.054712
991.,991.,975.10855537,990.77597603,966.43218997,988.72520652,977.8326213,990.49210058,990.39363045,0.109234
58.52295711,22.85278896,23.22573526,21.49842273,609.12074234,19.80065907,991.,880.44053528,688.46982783,0.063906
991.,26.33605502,20.36580416,936.25781047,916.03906227,911.49252476,945.92673768,989.29120992,982.43792817,0.046583
26.82678526,27.893996,36.79273332,991.,35.38786039,991.,820.93068948,983.88076956,958.54722778,0.028427
17.41028018,991.,850.85014614,987.26981871,963.16845914,983.04798536,974.13116187,988.154119,983.42371516,0.029279
31.68335404,29.2991443,31.86164191,23.58237106,799.57144251,991.,910.77439149,952.57987377,839.81500017,0.044321
